scientific_name,category,year_published,url,assessment_id
Copsychus albiventris,LC,2017,https://www.iucnredlist.org/species/103894787/118538765,118538765
Dicrurus andamanensis,LC,2017,https://www.iucnredlist.org/species/22707002/118539254,118539254
Dendrocitta bayleii,VU,2017,https://www.iucnredlist.org/species/22705852/118561208,118561208
Dryocopus hodgei,VU,2017,https://www.iucnredlist.org/species/22681379/118582685,118582685
Columba trocaz,LC,2017,https://www.iucnredlist.org/species/22690112/118618501,118618501
Columba pollenii,NT,2017,https://www.iucnredlist.org/species/22690152/118619451,118619451
Alectroenas sganzini,NT,2017,https://www.iucnredlist.org/species/22691594/118620252,118620252
Fulvetta danisi,LC,2025,https://www.iucnredlist.org/species/22734593/118628228,118628228
Geokichla dumasi,NT,2017,https://www.iucnredlist.org/species/22733666/118629453,118629453
Ninox sumbaensis,EN,2017,https://www.iucnredlist.org/species/22730062/118629788,118629788
Stresemannia bougainvillei,LC,2017,https://www.iucnredlist.org/species/22703937/118630490,118630490
Sphecotheres viridis,LC,2017,https://www.iucnredlist.org/species/22706460/118630869,118630869
Foudia consobrina,NT,2017,https://www.iucnredlist.org/species/103811335/118635121,118635121
Rhipidura kordensis,LC,2017,https://www.iucnredlist.org/species/103708917/118638489,118638489
Pachycephala tenebrosa,LC,2017,https://www.iucnredlist.org/species/22705565/118640929,118640929
Sittiparus owstoni,EN,2017,https://www.iucnredlist.org/species/103758982/118641514,118641514
Attila torridus,NT,2024,https://www.iucnredlist.org/species/22700340/118646751,118646751
Hypsipetes borbonicus,NT,2017,https://www.iucnredlist.org/species/22713231/118659547,118659547
Ducula aurorae,EN,2017,https://www.iucnredlist.org/species/22691668/118663538,118663538
Coracina dobsoni,NT,2017,https://www.iucnredlist.org/species/103694300/118680469,118680469
Aplonis brunneicapillus,VU,2017,https://www.iucnredlist.org/species/22710565/118683219,118683219
Incaspiza ortizi,LC,2017,https://www.iucnredlist.org/species/22723198/118770965,118770965
Psittrichas fulgidus,VU,2017,https://www.iucnredlist.org/species/22685025/118772050,118772050
Automolus lammi,EN,2017,https://www.iucnredlist.org/species/22736232/118773701,118773701
Hemitriccus kaempferi,VU,2017,https://www.iucnredlist.org/species/22698957/118775733,118775733
Pyrrhura leucotis,VU,2017,https://www.iucnredlist.org/species/45421208/118806820,118806820
Aglaeactis castelnaudii,NT,2017,https://www.iucnredlist.org/species/22687791/118808695,118808695
Herpsilochmus pectoralis,VU,2017,https://www.iucnredlist.org/species/22701577/118816985,118816985
Lanius meridionalis,VU,2017,https://www.iucnredlist.org/species/22729533/118845180,118845180
Conothraupis mesoleuca,EN,2017,https://www.iucnredlist.org/species/22722136/118846766,118846766
Emberiza socotrana,NT,2017,https://www.iucnredlist.org/species/22720940/118847061,118847061
Ploceus spekeoides,NT,2017,https://www.iucnredlist.org/species/22718933/118849332,118849332
Macroagelaius subalaris,EN,2017,https://www.iucnredlist.org/species/22724290/118889995,118889995
Neodrepanis hypoxantha,VU,2017,https://www.iucnredlist.org/species/22698777/118899364,118899364
Myrmotherula klagesi,VU,2017,https://www.iucnredlist.org/species/22701439/118900498,118900498
Pterorhinus mitratus,NT,2017,https://www.iucnredlist.org/species/103872287/118900980,118900980
Cnipodectes superrufus,VU,2017,https://www.iucnredlist.org/species/22735464/118904437,118904437
Anthreptes rubritorques,VU,2017,https://www.iucnredlist.org/species/22717663/118905827,118905827
Promerops gurneyi,NT,2017,https://www.iucnredlist.org/species/22717443/118924982,118924982
Geocolaptes olivaceus,NT,2017,https://www.iucnredlist.org/species/22680945/118945926,118945926
Amazona vinacea,EN,2017,https://www.iucnredlist.org/species/22686374/118954406,118954406
Amazona rhodocorytha,VU,2017,https://www.iucnredlist.org/species/22686288/118968809,118968809
Schistolais leontica,EN,2017,https://www.iucnredlist.org/species/22713638/119051588,119051588
Aplonis santovestris,EN,2017,https://www.iucnredlist.org/species/22710485/119060447,119060447
Xipholena atropurpurea,VU,2017,https://www.iucnredlist.org/species/22700900/119065682,119065682
Otus capnodes,EN,2017,https://www.iucnredlist.org/species/22688686/119090936,119090936
Curruca buryi,NT,2017,https://www.iucnredlist.org/species/22716864/119094742,119094742
Certhidea olivacea,VU,2017,https://www.iucnredlist.org/species/103814223/119095821,119095821
Dendropicos dorae,NT,2017,https://www.iucnredlist.org/species/22681095/119106114,119106114
Hypocnemis ochrogyna,VU,2017,https://www.iucnredlist.org/species/22735491/119113473,119113473
Troglodytes cobbi,LC,2017,https://www.iucnredlist.org/species/22724382/119150856,119150856
Lybius leucogaster,EN,2017,https://www.iucnredlist.org/species/22726086/119152739,119152739
Apteryx mantelli,VU,2017,https://www.iucnredlist.org/species/45353580/119177586,119177586
Pomarea iphis,CR,2017,https://www.iucnredlist.org/species/22734314/119194254,119194254
Phyllastrephus icterinus,LC,2017,https://www.iucnredlist.org/species/119195196/119195626,119195626
Amazilia cyanifrons,LC,2017,https://www.iucnredlist.org/species/119194033/119196095,119196095
Poicephalus fuscicollis,LC,2017,https://www.iucnredlist.org/species/22732670/119197072,119197072
Nestor notabilis,EN,2017,https://www.iucnredlist.org/species/22684831/119243358,119243358
Henicorhina anachoreta,NT,2017,https://www.iucnredlist.org/species/103889855/119252098,119252098
Cranioleuca hellmayri,LC,2018,https://www.iucnredlist.org/species/22702426/119316540,119316540
Emberiza aureola,CR,2017,https://www.iucnredlist.org/species/22720966/119335690,119335690
Sheppardia aurantiithorax,EN,2017,https://www.iucnredlist.org/species/22735022/119345695,119345695
Larus relictus,VU,2017,https://www.iucnredlist.org/species/22694447/119398496,119398496
Oxyura leucocephala,EN,2017,https://www.iucnredlist.org/species/22679814/119403602,119403602
Pelecanus crispus,NT,2018,https://www.iucnredlist.org/species/22697599/122838534,122838534
Gallicolumba platenae,CR,2016,https://www.iucnredlist.org/species/22690985/125475425,125475425
Corvus unicolor,CR,2017,https://www.iucnredlist.org/species/22705953/125525069,125525069
Ploceus melanocephalus,LC,2018,https://www.iucnredlist.org/species/22718949/125533442,125533442
Eriocnemis isabellae,CR,2018,https://www.iucnredlist.org/species/22735457/126225505,126225505
Randia pseudozosterops,NT,2025,https://www.iucnredlist.org/species/22715078/126620242,126620242
Zosterops rotensis,CR,2018,https://www.iucnredlist.org/species/22714047/126656629,126656629
Charadrius obscurus,CR,2018,https://www.iucnredlist.org/species/62290750/126893184,126893184
Pampusana erythroptera,CR,2018,https://www.iucnredlist.org/species/22691030/129084352,129084352
Corvus kubaryi,CR,2018,https://www.iucnredlist.org/species/22705959/129626293,129626293
Vidua interjecta,LC,2018,https://www.iucnredlist.org/species/103818534/129651818,129651818
Threskiornis spinicollis,LC,2018,https://www.iucnredlist.org/species/22697525/129656213,129656213
Strigops habroptilus,CR,2018,https://www.iucnredlist.org/species/22685245/129751169,129751169
Cisticola aberdare,VU,2018,https://www.iucnredlist.org/species/22713436/129880372,129880372
Bugeranus carunculatus,VU,2018,https://www.iucnredlist.org/species/22692129/129880815,129880815
Mesitornis unicolor,VU,2018,https://www.iucnredlist.org/species/22692966/129881558,129881558
Mesitornis variegatus,VU,2018,https://www.iucnredlist.org/species/22692949/129882359,129882359
Phoeniconaias minor,NT,2018,https://www.iucnredlist.org/species/22697369/129912906,129912906
Tetrax tetrax,NT,2018,https://www.iucnredlist.org/species/22691896/129913710,129913710
Stephanoaetus coronatus,NT,2018,https://www.iucnredlist.org/species/22696201/129914678,129914678
Accipiter madagascariensis,NT,2018,https://www.iucnredlist.org/species/22695613/129916593,129916593
Ardeotis arabs,NT,2018,https://www.iucnredlist.org/species/22691924/129917069,129917069
Bycanistes cylindricus,VU,2018,https://www.iucnredlist.org/species/22682585/129918692,129918692
Lobotos lobatus,VU,2018,https://www.iucnredlist.org/species/22706710/129919133,129919133
Picathartes gymnocephalus,VU,2018,https://www.iucnredlist.org/species/22708108/129919593,129919593
Bleda eximius,NT,2018,https://www.iucnredlist.org/species/22713069/129920168,129920168
Melaenornis annamarulae,VU,2018,https://www.iucnredlist.org/species/22709095/129921434,129921434
Lanius giganteus,LC,2018,https://www.iucnredlist.org/species/103718860/129936973,129936973
Polytelis swainsonii,LC,2018,https://www.iucnredlist.org/species/22685072/130018368,130018368
Lophoictinia isura,LC,2018,https://www.iucnredlist.org/species/22695010/130019707,130019707
Crypturellus casiquiare,LC,2018,https://www.iucnredlist.org/species/22678235/130021978,130021978
Crypturellus tataupa,LC,2018,https://www.iucnredlist.org/species/22678238/130022788,130022788
Pternistis nobilis,LC,2018,https://www.iucnredlist.org/species/22678883/130023191,130023191
Arborophila torqueola,LC,2018,https://www.iucnredlist.org/species/22679017/130023972,130023972
Arborophila rubrirostris,LC,2018,https://www.iucnredlist.org/species/22679060/130024385,130024385
Amazonetta brasiliensis,LC,2018,https://www.iucnredlist.org/species/22680115/130025891,130025891
Indicator meliphilus,LC,2018,https://www.iucnredlist.org/species/22680647/130027350,130027350
Picumnus innominatus,LC,2018,https://www.iucnredlist.org/species/22680694/130027666,130027666
Picumnus albosquamatus,LC,2018,https://www.iucnredlist.org/species/22680753/130028124,130028124
Picumnus castelnau,LC,2018,https://www.iucnredlist.org/species/22680768/130028768,130028768
Picumnus granadensis,LC,2018,https://www.iucnredlist.org/species/22680777/130029087,130029087
Melanerpes cactorum,LC,2018,https://www.iucnredlist.org/species/22680831/130031036,130031036
Melanerpes striatus,LC,2018,https://www.iucnredlist.org/species/22680834/130031721,130031721
Sphyrapicus nuchalis,LC,2018,https://www.iucnredlist.org/species/22680871/130036052,130036052
Sphyrapicus ruber,LC,2018,https://www.iucnredlist.org/species/22680874/130036416,130036416
Campethera mombassica,LC,2018,https://www.iucnredlist.org/species/22680906/130036827,130036827
Dryobates minor,LC,2018,https://www.iucnredlist.org/species/22681076/130037386,130037386
Veniliornis passerinus,LC,2018,https://www.iucnredlist.org/species/22681199/130038374,130038374
Veniliornis frontalis,LC,2018,https://www.iucnredlist.org/species/22681202/130038837,130038837
Veniliornis cassini,LC,2018,https://www.iucnredlist.org/species/22681219/130039364,130039364
Celeus lugubris,LC,2018,https://www.iucnredlist.org/species/22681338/130040548,130040548
Campephilus pollens,LC,2018,https://www.iucnredlist.org/species/22681386/130040896,130040896
Campephilus rubricollis,LC,2018,https://www.iucnredlist.org/species/22681396/130041225,130041225
Chrysophlegma flavinucha,LC,2018,https://www.iucnredlist.org/species/22681437/130041888,130041888
Picus erythropygius,LC,2018,https://www.iucnredlist.org/species/22681481/130042305,130042305
Blythipicus pyrrhotis,LC,2018,https://www.iucnredlist.org/species/22681546/130042642,130042642
Mulleripicus fulvus,LC,2018,https://www.iucnredlist.org/species/22681575/130042987,130042987
Psilopogon virens,LC,2018,https://www.iucnredlist.org/species/22681591/130043742,130043742
Psilopogon lagrandieri,LC,2018,https://www.iucnredlist.org/species/22681594/130044154,130044154
Psilopogon faiostrictus,LC,2018,https://www.iucnredlist.org/species/22681606/130044560,130044560
Psilopogon chrysopogon,LC,2018,https://www.iucnredlist.org/species/22681612/130044918,130044918
Psilopogon pulcherrimus,LC,2018,https://www.iucnredlist.org/species/22681655/130045615,130045615
Psilopogon eximius,LC,2018,https://www.iucnredlist.org/species/22681665/130046030,130046030
Pogoniulus coryphaea,LC,2018,https://www.iucnredlist.org/species/22681740/130046358,130046358
Pogoniulus simplex,LC,2018,https://www.iucnredlist.org/species/22681754/130046741,130046741
Tricholaema hirsuta,LC,2018,https://www.iucnredlist.org/species/22681786/130047535,130047535
Capito aurovirens,LC,2018,https://www.iucnredlist.org/species/22681905/130048043,130048043
Andigena nigrirostris,LC,2018,https://www.iucnredlist.org/species/22682066/130076475,130076475
Galbalcyrhynchus purusianus,LC,2018,https://www.iucnredlist.org/species/22682170/130076817,130076817
Brachygalba albogularis,LC,2018,https://www.iucnredlist.org/species/22682183/130078423,130078423
Malacoptila fulvogularis,LC,2018,https://www.iucnredlist.org/species/22682286/130078659,130078659
Malacoptila rufa,LC,2018,https://www.iucnredlist.org/species/22682289/130078926,130078926
Nonnula sclateri,LC,2018,https://www.iucnredlist.org/species/22682304/130079195,130079195
Nonnula ruficapilla,LC,2018,https://www.iucnredlist.org/species/22682315/130079761,130079761
Monasa atra,LC,2018,https://www.iucnredlist.org/species/22682325/130080015,130080015
Lophoceros camurus,LC,2018,https://www.iucnredlist.org/species/22682363/130080398,130080398
Lophoceros hemprichii,LC,2018,https://www.iucnredlist.org/species/22682409/130080934,130080934
Bycanistes bucinator,LC,2018,https://www.iucnredlist.org/species/22682548/130081383,130081383
Bycanistes brevis,LC,2018,https://www.iucnredlist.org/species/22682570/130081772,130081772
Priotelus temnurus,LC,2018,https://www.iucnredlist.org/species/22682748/130082349,130082349
Trogon comptus,LC,2018,https://www.iucnredlist.org/species/22682771/130082680,130082680
Trogon melanocephalus,LC,2018,https://www.iucnredlist.org/species/22682788/130083006,130083006
Trogon mexicanus,LC,2018,https://www.iucnredlist.org/species/22682791/130083356,130083356
Trogon curucui,LC,2018,https://www.iucnredlist.org/species/22682816/130083709,130083709
Harpactes oreskios,LC,2018,https://www.iucnredlist.org/species/22682851/130084088,130084088
Coracias temminckii,LC,2018,https://www.iucnredlist.org/species/22682905/130084513,130084513
Meropogon forsteni,LC,2018,https://www.iucnredlist.org/species/22683667/130085350,130085350
Cuculus crassirostris,LC,2018,https://www.iucnredlist.org/species/22683827/130085733,130085733
Cuculus micropterus,LC,2018,https://www.iucnredlist.org/species/22683870/130085980,130085980
Cercococcyx montanus,LC,2018,https://www.iucnredlist.org/species/22683913/130086915,130086915
Chrysococcyx maculatus,LC,2018,https://www.iucnredlist.org/species/22684000/130087242,130087242
Chrysococcyx xanthorhynchus,LC,2018,https://www.iucnredlist.org/species/22684003/130087571,130087571
Chrysococcyx flavigularis,LC,2018,https://www.iucnredlist.org/species/22684012/130088089,130088089
